,Movie ID,Actriz_Actor
0,tt0110660,Tony Ka Fai Leung
1,tt0110363,Luke Edwards
2,tt0110397,Jennifer Barker
3,tt0111045,Miklós Déri
4,tt0111653,Joe Bays
5,tt0113986,Hugh Grant
6,tt0114054,Kirill Pirogov
7,tt0113971,Cezary Pazura
8,tt0113541,Johnny Morina
9,tt0113841,Renato Pozzetto
10,tt0114113,Marisa Tomei
11,tt0113790,Dani Levy
12,tt0113865,Diane Ladd
13,tt0116325,Annette Shun Wah
14,tt0116770,Melinda Clarke
15,tt0116268,Pierre Arditi
16,tt0116857,Giora Asaulov
17,tt0116959,Jamie Renée Smith
18,tt0115621,Quyen Hua
19,tt0116290,Takeshi Kaneshiro
20,tt0120266,Fanta Berete
21,tt0120317,Christina Ricci
22,tt0120394,Llyr Ifans
23,tt0120489,Uwe Ochsenknecht
24,tt0120002,Bertram Heribertson
25,tt0120151,Greg Kinnear
26,tt0120209,Steve Oedekerk
27,tt0120270,Kathleen Barr
28,tt0150574,Thomas Walter Blake Jr.
29,tt0150167,Dani Leon
30,tt0150727,Amanda Burton
31,tt0150434,Giorgio Pasotti
32,tt0150941,Quentin Crisp
33,tt0150918,Roland Düringer
34,tt0150790,Maria Conchita Alonso
35,tt0187831,Taisto Reimaluoto
36,tt0187659,Ben Miller
37,tt0186397,Karin Viard
38,tt0186726,Kirsten Storms
39,tt0187867,Mark Aizikovitsch
40,tt0187819,Thomas McHugh
41,tt0228687,Veronika Zilková
42,tt0228525,Mia Tyler
43,tt0228239,Boris Aljinovic
44,tt0229475,Daniel Prévost
45,tt0229022,Dieudonné
46,tt0228720,Judge Reinhold
47,tt0230041,Verne Troyer
48,tt0230056,Mark Bate
49,tt0271271,Kirsten Storms
50,tt0272676,Wendy Braun
51,tt0272735,Rekha
52,tt0273300,Tunde Adebimpe
53,tt0271020,Frank Whaley
54,tt0272018,Whoopi Goldberg
55,tt0271538,Philip Howe
56,tt0272093,François Berléand
57,tt0271461,Dennis Quaid
58,tt0304657,Wolfgang Stumph
59,tt0304669,Tim Allen
60,tt0305578,Branko Tomovic
61,tt0304678,Anne Parillaud
62,tt0303781,Bobby Brederlow
63,tt0304008,Stephanie Paul
64,tt0304458,Robert Berson
65,tt0304707,Graham Norton
66,tt0341372,Valeriy Nikolaev
67,tt0340737,Adrienne Alitowski
68,tt0341326,Gaston Lepage
69,tt0341598,Jay Acovone
70,tt0341540,Kirby Heyborne
71,tt0341376,Sam Worthington
72,tt0341216,Simon Schwarz
73,tt0342776,Kristoffer Ryan Winters
74,tt0343524,Bernard Giraudeau
75,tt0383717,James Allodi
76,tt0384576,Denis Moschitto
77,tt0385013,Jason Priestley
78,tt0383846,Sergej Trifunovic
79,tt0385511,Jeong Woong-in
80,tt0385534,Emma Caulfield Ford
81,tt0384504,Michelle Krusiec
82,tt0384037,Marla Sokoloff
83,tt0425426,Ferhan Sensoy
84,tt0426459,Duane Whitaker
85,tt0424999,Christopher Lloyd
86,tt0426452,Ben Affan
87,tt0426615,Usher
88,tt0425333,Ferhan Sensoy
89,tt0425202,Heike Makatsch
90,tt0424187,Anja Kling
91,tt0470732,Susan Sarandon
92,tt0472482,Teruyoshi Uchimura
93,tt0472520,Diego Abatantuono
94,tt0469754,Jens Albinus
95,tt0470082,Michele Placido
96,tt0470079,Vojtech Kotek
97,tt0472615,Glenn Robbins
98,tt0469911,Anthony Booth
99,tt0473050,Debi Derryberry
100,tt0469519,Dagney Kerr
101,tt0808472,Pontus Gårdinger
102,tt0808425,Benno Fürmann
103,tt0809951,Zdenek Sverák
104,tt0808409,Sophie Alexander-Katz
105,tt0810082,Diego Muñoz
106,tt0810868,Moritz Bleibtreu
107,tt0810099,Jonathan Ryland
108,tt0811106,Paul Rudd
109,tt10070746,Spencer Bailey
110,tt10071408,Timna De Silva
111,tt10061802,Kevin Yee
112,tt10021716,Jessica DeMarco
113,tt10021688,Haley Heslip
114,tt10022384,Emma Catherine Rigby
115,tt10324122,Peyton Elizabeth Lee
116,tt10324166,Ellie Kemper
117,tt10326882,Shamir Dawood
118,tt11125620,Oscar Isaac
119,tt11132688,Nadim Ben
120,tt11135944,Tarik Badwan
121,tt13316790,Katia Winter
122,tt13320622,Sandra Bullock
123,tt13320706,Robert Funaro
124,tt13322796,Céline Mauge
125,tt13320662,Jason Momoa
126,tt13328854,Kirsi Enberg
127,tt13335652,Pierre Santini
128,tt0470382,Jitka Jezková
129,tt0472074,Troy Ruptash
130,tt0472618,Anthony Ferraro
131,tt0472485,Natasha Ivanova
132,tt0475404,Roger Daltrey
133,tt0475945,Criss Angel
134,tt0473474,Nobuyo Ôyama
135,tt0474949,Sorapong Chatree
136,tt0475600,Julie Ross
137,tt0475946,Criss Angel
138,tt0478821,Pierre-Alain de Garrigues
139,tt0481001,Sylvi Alli
140,tt0480969,Stacey Amankwah
141,tt0480768,Ildar Abdrazakov
142,tt0481302,Stefanos Damatos
143,tt0795403,Mika Boorem
144,tt0969322,Joe Penny
145,tt1185834,Matt Lanter
146,tt1322910,Arcelia Ramírez
147,tt1323925,Adrian Webster
148,tt1324057,Jorge Sesán
149,tt1326218,Carolyn Hauck
150,tt1326957,Maya Batash
151,tt1326972,Tony Leung Chiu-wai
152,tt1438254,Zac Efron
153,tt1439532,Francesco Chinchella
154,tt12141548,
155,tt12215220,Colette Brossoit
156,tt1222817,Kevin James
157,tt12306262,Ron Baratono
158,tt12321038,Özgür Biber
159,tt1235170,Hamish Linklater
160,tt13820914,
161,tt13817214,Jinxy Laroue
162,tt10100940,Marija Juliette Abney
163,tt11107978,Carrie Jo Crosby
164,tt11116656,Tatsuomi Hamada
165,tt11124092,Mads Haslund
166,tt11128480,Mounir Aboulasri
167,tt11123316,Gonzalo Cunill
168,tt11131816,Ahnna Beruk
169,tt12572368,
170,tt12592338,Jaime Hill
171,tt12592680,Sapna Bhavnani
172,tt12619898,Cat Roberts
173,tt12625756,Chemban Vinod Jose
174,tt4621366,Craig Proudfoot
175,tt4629450,Craig Proudfoot
176,tt4631440,Chris King
177,tt4636258,Craig Proudfoot
178,tt4641348,Chris King
179,tt4666644,Hans Boström
180,tt4872678,Charley Rice
181,tt4903204,Lou Drew
182,tt4924236,Dominic Gotheridge
183,tt1964988,Bita Farahi
184,tt1984180,Cinzia Bambozzi
185,tt1995281,Azelyn Failor
186,tt2004260,Ian Gilly
187,tt2007420,Sam Eidson
188,tt2008636,James Rollyson
189,tt2011113,Elidan Arzoni
190,tt2016844,Eucir de Souza
191,tt2025513,Christopher Jones
192,tt2035624,Simon Meacock
193,tt2041503,Dmitri Achkasov
194,tt2043811,
195,tt2047925,Josh Frisch
196,tt2057385,Jerry Carter
197,tt2075080,Corina Harper
198,tt2069978,Aaron Cone
199,tt2072977,Paul O'Callaghan
200,tt2076140,Joshua Arden
201,tt2079488,Danijel Cerne
202,tt2082492,
203,tt2089839,Ari Azimi
204,tt2088807,Jozica Zavrl
205,tt2090607,Filthy Cheese
206,tt2091432,Andres Salaff
207,tt2095626,Glenn Browder
