,Tipo,Titulo,Año,Mes,Id,generos
0,Movie,Las Travesuras de Super Chido,1990.0,10,tt0320656,Action
1,Movie,Velai Kidaichiruchu,1990.0,8,tt0318803,Action
2,Movie,Sor Batalla,1990.0,8,tt0320503,Action
3,Movie,Azaad Desh Ke Gulam,1990.0,4,tt0330019,Action
4,Movie,Suo ming fei dao,1991.0,11,tt0348147,Action
5,Movie,Contreras Gang,1991.0,12,tt0349237,Action
6,Movie,Pitong Gamol,1991.0,,tt0349971,Action
7,Movie,Jiang hu ba mian feng,1991.0,,tt0351141,Action
8,Movie,Sarphira,1992.0,4,tt0344301,Action
9,Movie,Alyas Lakay,1992.0,11,tt0344816,Action
10,Movie,Santo: la leyenda del enmascarado de plata,1993.0,11,tt0330855,Action
11,Movie,La sangre de un valiente,1993.0,5,tt0334294,Action
12,Movie,Young-guwa gongryong Zzu-Zzu,1993.0,7,tt0334765,Action
13,Movie,Que me entierren con la banda,1994.0,3,tt0285962,Action
14,Movie,Elaan,1994.0,1,tt0290183,Action
15,Movie,Hum Hain Bemisaal,1994.0,12,tt0290213,Action
16,Movie,Cesta peklem,1995.0,5,tt0277621,Action
17,Movie,Maanthrikam,1995.0,1,tt0280889,Action
18,Short,End of the Line,1996.0,8,tt0285543,Action
19,Movie,Lone Tiger,1996.0,7,tt0285680,Action
20,Movie,Diljale,1996.0,9,tt0286593,Action
21,Movie,Kôshoku kunoichi ninpô-chô: Vâjin sunaipâ - bishôjo yôma-den,1997.0,10,tt0288305,Action
22,TV Movie,Terrain,1997.0,12,tt0288841,Action
23,Movie,Daava,1997.0,7,tt0289685,Action
24,Movie,Varnapakittu,1997.0,4,tt0290098,Action
25,Movie,Kudrat,1998.0,12,tt0286772,Action
26,Movie,Achanak,1998.0,6,tt0286421,Action
27,Movie,Salaakhen,1998.0,4,tt0286936,Action
28,Movie,Angaaray,1998.0,7,tt0288427,Action
29,Short,A Waiter Tomorrow,1998.0,3,tt0289611,Action
30,Movie,Ispanska muha,1998.0,1,tt0290674,Action
31,TV Movie,NASCAR Racers: The Movie,1999.0,11,tt0278580,Action
32,Movie,Ostatnia misja,2000.0,3,tt0281019,Action
33,Movie,Anakiseuteu Anarchists,2000.0,4,tt0280427,Action
34,Movie,High Adventure,2001.0,8,tt0295989,Action
35,Movie,"Death, Deceit & Destiny Aboard the Orient Express",2001.0,9,tt0295925,Action
36,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001.0,9,tt0297241,Action
37,Movie,Virtualna stvarnost,2001.0,10,tt0296919,Action
38,Movie,Ravanaprabhu,2001.0,8,tt0298514,Action
39,TV Movie,ReBoot: My Two Bobs,2001.0,11,tt0298515,Action
40,Movie,Waah! Tera Kya Kehna,2002.0,11,tt0339878,Action
41,Movie,Wolves of Wall Street,2002.0,12,tt0339918,Action
42,Movie,Masuuruhiito,2002.0,10,tt0340227,Action
43,Movie,Khadgam,2002.0,11,tt0339252,Action
44,TV Movie,Epoch: Evolution,2003.0,11,tt0374286,Action
45,Movie,De zaak Alzheimer,2004.0,4,tt0374345,Action
46,Short,Batman: Dead End,2003.0,7,tt0374526,Action
47,TV Short,Den sorte celle,2003.0,7,tt0374228,Action
48,Movie,Dai zek lo,2003.0,9,tt0374184,Action
49,Movie,Tere Naam,2003.0,8,tt0374271,Action
50,Movie,Shikaar,2004.0,7,tt0420175,Action
51,Short,World's Finest,2004.0,7,tt0420324,Action
52,Movie,Camp X-Ray: Ghosts of Guantánamo Bay,2004.0,9,tt0418587,Action
53,Movie,"Chot [Aaj Isko, Kal Tereko]",2004.0,6,tt0418598,Action
54,Short,Even If It's Wrong,2004.0,4,tt0419736,Action
55,Movie,Tiempo de valientes,2005.0,9,tt0462570,Action
56,Movie,Seung ji san tau,2007.0,2,tt0934949,Action
57,TV Movie,The Cutting Edge 3: Chasing the Dream,2008.0,3,tt1110626,Action
58,Movie,Heroes,2008.0,10,tt1114725,Action
59,TV Movie,Phoo Action,2008.0,2,tt1116185,Action
60,Movie,Bonnie & Clyde vs. Dracula,2011.0,3,tt1117379,Action
61,Movie,La hora cero,2010.0,10,tt1322302,Action
62,Movie,Ascension 2,2012.0,4,tt12731590,Action
63,Short,Revirements Fatals (V.F. de Deadly Twists),2012.0,8,tt12737858,Action
64,Movie,USS Seaviper,2020.0,11,tt1274596,Action
65,Movie,The Life Kung-Fu,2012.0,2,tt12747740,Action
66,Movie,Looper,2012.0,11,tt1276104,Action
67,Movie,Supernatural Swamp Slaughter,2012.0,5,tt1277403,Action
68,TV Movie,Los 3 gallos Michoacanos,2013.0,10,tt11294796,Action
69,Movie,Fuck Duissan,2013.0,9,tt11372090,Action
70,Short,Wrony,2013.0,7,tt11423922,Action
71,Short,Under the cage,2013.0,6,tt11428282,Action
72,Short,Ode to the Warriors,2013.0,11,tt11447774,Action
73,Movie,"Boonie Bears, to the Rescue!",2014.0,1,tt3564806,Action
74,Short,The Floor Whisper,2017.0,3,tt10307720,Action
75,Short,Metal Gear Solid: A New Divide,2017.0,8,tt10305124,Action
76,Short,Deprivation,2019.0,5,tt10080934,Action
77,Short,Small Gains,2020.0,,tt10955374,Action
78,Short,Liam: The New Manager,2020.0,5,tt10968850,Action
79,Movie,Taanashah,2020.0,2,tt10968008,Action
80,Movie,Dagaalty,2020.0,1,tt10966832,Action
81,Short,Tiger Man,2020.0,2,tt10972026,Action
82,Movie,Brew,2020.0,,tt10978650,Action
83,Short,An Awkward Encounter,2021.0,,tt11914358,Action
84,Movie,"Push Comes to Shovel, TX",2021.0,7,tt11921924,Action
85,Movie,Ladki: Enter the Girl Dragon,2021.0,12,tt11924110,Action
86,Movie,Rewind,2021.0,4,tt11924002,Action
87,Movie,Tokyo Revengers,2021.0,7,tt11923304,Action
88,Short,Mashin Sentai Kirameijâ Za Mûbî: Bî-Bappu Dorîmu,2021.0,2,tt11928952,Action
89,Movie,The Lost and the Brave,2022.0,,tt14134448,Action
90,Movie,Gaspard et Robinson,1990.0,12,tt0099635,Drama
91,Movie,Night of the Cyclone,1990.0,5,tt0100256,Drama
92,Movie,Pokhorony Stalina,1990.0,,tt0100383,Drama
93,Movie,Street Hunter,1990.0,11,tt0100706,Drama
94,Movie,Goodfellas,1990.0,11,tt0099685,Drama
95,TV Movie,Murder in Black and White,1990.0,1,tt0100207,Drama
96,Movie,Le party,1990.0,2,tt0100334,Drama
97,Movie,18 anni tra una settimana,1992.0,2,tt0101250,Drama
98,TV Movie,Aftermath: A Test of Love,1991.0,3,tt0101277,Drama
99,TV Movie,Christmas on Division Street,1991.0,12,tt0101580,Drama
100,Movie,Dead Again,1992.0,2,tt0101669,Drama
101,TV Movie,Eyes of a Witness,1991.0,3,tt0101843,Drama
102,Movie,Gigolo,1991.0,11,tt0101952,Drama
103,Movie,Krhotine,2004.0,1,tt0102236,Drama
104,TV Movie,Lightning Field,1991.0,9,tt0102309,Drama
105,Movie,Cerro Torre: Schrei aus Stein,1991.0,10,tt0102855,Drama
106,Movie,Modern Crimes,1992.0,1,tt0104900,Drama
